Date,borough_NM,borough_CD,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
31/10/2020,Sutton,E09000029,-33,-11,-8,-46,-17,8
31/10/2020,Tower Hamlets,E09000030,-39,-17,-44,-49,-16,8
31/10/2020,Waltham Forest,E09000031,-28,-6,-19,-41,-20,7
31/10/2020,Wandsworth,E09000032,-41,-13,-1,-40,-10,8
31/10/2020,Greenwich,E09000011,-37,-10,-34,-35,-18,8
31/10/2020,Kensington and Chelsea,E09000020,-52,-16,-39,-64,-17,8
31/10/2020,Kingston upon Thames,E09000021,-36,-14,22,-39,-10,9
01/11/2020,City of London,E09000001,-58,-39,-67,-62,NA,NA
01/11/2020,Westminster,E09000033,-54,-33,-59,-58,-23,6
01/11/2020,Barking and Dagenham,E09000002,-22,-9,16,-25,-16,4
01/11/2020,Barnet,E09000003,-22,-11,4,-37,-15,5
01/11/2020,Bexley,E09000004,-26,-14,9,-33,-9,5
01/11/2020,Brent,E09000005,-23,-6,13,-31,-17,5
01/11/2020,Bromley,E09000006,-20,-10,-1,-34,4,5
01/11/2020,Camden,E09000007,-51,-33,-11,-58,-14,5
01/11/2020,Croydon,E09000008,-24,-9,4,-39,-6,5
01/11/2020,Ealing,E09000009,-19,-5,-3,-36,-15,5
01/11/2020,Enfield,E09000010,-24,-8,-3,-29,-11,5
01/11/2020,Hackney,E09000012,-35,-15,10,-37,-12,5
01/11/2020,Hammersmith and Fulham,E09000013,-42,-27,-2,-43,-20,5
01/11/2020,Haringey,E09000014,-23,-17,-10,-32,-24,5
01/11/2020,Harrow,E09000015,-23,-8,17,-27,-5,5
01/11/2020,Havering,E09000016,-20,-2,10,-26,-5,5
01/11/2020,Hillingdon,E09000017,-26,-9,47,-57,-10,5
01/11/2020,Hounslow,E09000018,-18,-6,-5,-28,-17,5
01/11/2020,Islington,E09000019,-45,-18,8,-44,-14,4
01/11/2020,Lambeth,E09000022,-35,-14,-3,-37,-6,5
01/11/2020,Lewisham,E09000023,-22,-8,20,-31,-13,5
01/11/2020,Merton,E09000024,-26,-18,-2,-41,-12,5
01/11/2020,Newham,E09000025,-28,-10,61,-34,-17,4
01/11/2020,Redbridge,E09000026,-22,-9,-21,-28,-12,5
01/11/2020,Richmond upon Thames,E09000027,-29,-10,5,-42,-17,5
01/11/2020,Southwark,E09000028,-36,-14,-11,-43,-14,5
01/11/2020,Sutton,E09000029,-21,-12,4,-38,-12,5
01/11/2020,Tower Hamlets,E09000030,-35,-31,-31,-43,-14,5
01/11/2020,Waltham Forest,E09000031,-18,-7,12,-34,-18,5
01/11/2020,Wandsworth,E09000032,-29,-18,5,-40,-2,5
01/11/2020,Greenwich,E09000011,-28,-10,-15,-32,-17,5
01/11/2020,Kensington and Chelsea,E09000020,-44,-15,-26,-60,-17,5
01/11/2020,Kingston upon Thames,E09000021,-21,-16,43,-28,-11,5
02/11/2020,City of London,E09000001,-75,-64,-82,-74,-59,NA
02/11/2020,Westminster,E09000033,-57,-32,-48,-62,-56,17
02/11/2020,Barking and Dagenham,E09000002,-9,-2,23,-27,-31,8
02/11/2020,Barnet,E09000003,-12,-3,26,-39,-42,14
02/11/2020,Bexley,E09000004,-13,-1,30,-39,-42,12
02/11/2020,Brent,E09000005,-6,-1,65,-35,-38,11
02/11/2020,Bromley,E09000006,-5,2,19,-40,-45,15
02/11/2020,Camden,E09000007,-53,-35,5,-63,-56,18
02/11/2020,Croydon,E09000008,-10,2,37,-39,-35,12
02/11/2020,Ealing,E09000009,-6,-3,32,-36,-37,12
02/11/2020,Enfield,E09000010,-6,-2,23,-35,-34,11
02/11/2020,Hackney,E09000012,-26,-7,41,-45,-49,15
02/11/2020,Hammersmith and Fulham,E09000013,-36,-21,8,-41,-54,17
02/11/2020,Haringey,E09000014,-11,-11,14,-42,-46,13
02/11/2020,Harrow,E09000015,-5,0,43,-35,-37,13
02/11/2020,Havering,E09000016,-6,2,-1,-32,-36,11
02/11/2020,Hillingdon,E09000017,-17,-1,39,-60,-36,12
02/11/2020,Hounslow,E09000018,-10,-2,33,-36,-38,12
02/11/2020,Islington,E09000019,-47,-22,10,-55,-59,19
02/11/2020,Lambeth,E09000022,-29,-11,20,-55,-48,17
02/11/2020,Lewisham,E09000023,-6,0,49,-36,-49,16
02/11/2020,Merton,E09000024,-20,-9,19,-41,-45,14
02/11/2020,Newham,E09000025,-19,-2,132,-38,-40,12
02/11/2020,Redbridge,E09000026,-8,-2,1,-38,-40,12
02/11/2020,Richmond upon Thames,E09000027,-19,-3,29,-46,-54,16
02/11/2020,Southwark,E09000028,-32,-11,-8,-52,-50,16
02/11/2020,Sutton,E09000029,0,0,53,-48,-46,14
02/11/2020,Tower Hamlets,E09000030,-39,-16,-24,-56,-57,18
02/11/2020,Waltham Forest,E09000031,-4,0,27,-40,-42,13
02/11/2020,Wandsworth,E09000032,-17,-10,28,-46,-52,18
02/11/2020,Greenwich,E09000011,-8,1,7,-31,-47,13
02/11/2020,Kensington and Chelsea,E09000020,-40,-7,-18,-51,-48,15
02/11/2020,Kingston upon Thames,E09000021,-9,-10,NA,-42,-48,16
03/11/2020,City of London,E09000001,-73,-60,-76,-72,-59,NA
03/11/2020,Westminster,E09000033,-53,-33,-49,-60,-55,16
03/11/2020,Barking and Dagenham,E09000002,-8,-7,10,-26,-31,8
03/11/2020,Barnet,E09000003,-4,-6,22,-35,-41,13
03/11/2020,Bexley,E09000004,-6,1,25,-37,-40,12
03/11/2020,Brent,E09000005,-4,-4,47,-31,-37,10
03/11/2020,Bromley,E09000006,0,4,6,-38,-43,15
03/11/2020,Camden,E09000007,-51,-32,-9,-61,-55,18
03/11/2020,Croydon,E09000008,-5,3,19,-40,-36,13
03/11/2020,Ealing,E09000009,-3,-6,27,-34,-37,12
03/11/2020,Enfield,E09000010,-8,-3,9,-31,-33,10
03/11/2020,Hackney,E09000012,-22,-7,26,-41,-49,15
03/11/2020,Hammersmith and Fulham,E09000013,-30,-19,-3,-40,-52,15
03/11/2020,Haringey,E09000014,-9,-10,11,-40,-46,13
03/11/2020,Harrow,E09000015,-1,-1,34,-33,-34,13
03/11/2020,Havering,E09000016,-2,1,-9,-32,-36,11
03/11/2020,Hillingdon,E09000017,-11,-3,28,-58,-35,12
03/11/2020,Hounslow,E09000018,-8,-6,23,-34,-36,12
03/11/2020,Islington,E09000019,-42,-21,7,-56,-58,19
03/11/2020,Lambeth,E09000022,-25,-10,5,-52,-46,16
03/11/2020,Lewisham,E09000023,-5,3,39,-34,-47,15
03/11/2020,Merton,E09000024,-16,-16,17,-36,-45,14
03/11/2020,Newham,E09000025,-14,-4,122,-37,-40,11
03/11/2020,Redbridge,E09000026,-7,2,-4,-36,-41,12
03/11/2020,Richmond upon Thames,E09000027,-14,-1,22,-44,-52,17
03/11/2020,Southwark,E09000028,-30,-12,-19,-50,-49,16
03/11/2020,Sutton,E09000029,3,-4,23,-42,-45,13
03/11/2020,Tower Hamlets,E09000030,-37,-17,-28,-58,-56,18
03/11/2020,Waltham Forest,E09000031,-5,-3,8,-37,-43,12
03/11/2020,Wandsworth,E09000032,-10,-10,26,-38,-50,18
03/11/2020,Greenwich,E09000011,-6,-2,-8,-31,-46,13
03/11/2020,Kensington and Chelsea,E09000020,-35,-6,-21,-51,-48,15
03/11/2020,Kingston upon Thames,E09000021,-9,-10,NA,-38,-45,15
04/11/2020,City of London,E09000001,-70,-57,-73,-70,-58,NA
04/11/2020,Westminster,E09000033,-50,-28,-41,-58,-54,14
04/11/2020,Barking and Dagenham,E09000002,-2,3,25,-28,-28,7
04/11/2020,Barnet,E09000003,4,-4,32,-33,-39,12
04/11/2020,Bexley,E09000004,5,2,53,-30,-38,11
04/11/2020,Brent,E09000005,4,2,65,-27,-36,9
04/11/2020,Bromley,E09000006,10,3,23,-35,-41,13
04/11/2020,Camden,E09000007,-47,-32,14,-59,-52,15
04/11/2020,Croydon,E09000008,2,1,35,-37,-32,11
04/11/2020,Ealing,E09000009,10,-1,46,-31,-37,10
04/11/2020,Enfield,E09000010,-2,1,30,-29,-32,9
04/11/2020,Hackney,E09000012,-9,-1,49,-36,-46,13
04/11/2020,Hammersmith and Fulham,E09000013,-19,-13,36,-36,-51,13
04/11/2020,Haringey,E09000014,-3,-8,24,-39,-42,11
04/11/2020,Harrow,E09000015,13,2,56,-29,-34,11
04/11/2020,Havering,E09000016,7,2,12,-30,-34,10
04/11/2020,Hillingdon,E09000017,-3,-2,52,-53,-33,10
04/11/2020,Hounslow,E09000018,-1,-5,49,-29,-33,10
04/11/2020,Islington,E09000019,-38,-21,30,-51,-56,17
04/11/2020,Lambeth,E09000022,-15,-8,29,-51,-45,14
04/11/2020,Lewisham,E09000023,7,8,60,-32,-43,14
04/11/2020,Merton,E09000024,-11,-15,24,-37,-42,12
04/11/2020,Newham,E09000025,-15,-2,163,-37,-36,10
04/11/2020,Redbridge,E09000026,3,0,19,-30,-38,11
04/11/2020,Richmond upon Thames,E09000027,1,-2,52,-38,-50,14
04/11/2020,Southwark,E09000028,-22,-9,-3,-45,-48,14
04/11/2020,Sutton,E09000029,9,2,46,-42,-41,12
04/11/2020,Tower Hamlets,E09000030,-31,-16,-18,-53,-53,16
04/11/2020,Waltham Forest,E09000031,10,2,30,-36,-38,10
04/11/2020,Wandsworth,E09000032,1,-7,38,-36,-48,16
04/11/2020,Greenwich,E09000011,-1,3,9,-28,-42,11
04/11/2020,Kensington and Chelsea,E09000020,-27,-2,11,-44,-45,13
04/11/2020,Kingston upon Thames,E09000021,-2,-9,NA,-34,-42,14
05/11/2020,City of London,E09000001,-91,-74,-88,-81,-66,NA
05/11/2020,Westminster,E09000033,-86,-49,-59,-75,-63,25
05/11/2020,Barking and Dagenham,E09000002,-39,-6,27,-36,-35,13
05/11/2020,Barnet,E09000003,-49,-10,43,-50,-48,20
05/11/2020,Bexley,E09000004,-53,-12,29,-49,-46,18
05/11/2020,Brent,E09000005,-48,-8,57,-45,-44,17
05/11/2020,Bromley,E09000006,-57,-11,13,-55,-52,22
05/11/2020,Camden,E09000007,-81,-38,-12,-74,-62,26
05/11/2020,Croydon,E09000008,-55,-6,34,-52,-42,19
05/11/2020,Ealing,E09000009,-44,-9,33,-51,-45,19
05/11/2020,Enfield,E09000010,-44,-6,25,-43,-41,17
05/11/2020,Hackney,E09000012,-63,-4,36,-56,-56,22
05/11/2020,Hammersmith and Fulham,E09000013,-69,-24,0,-58,-61,24
05/11/2020,Haringey,E09000014,-50,-15,23,-51,-52,20
05/11/2020,Harrow,E09000015,-52,-12,47,-46,-42,18
05/11/2020,Havering,E09000016,-54,-12,-2,-46,-42,17
05/11/2020,Hillingdon,E09000017,-52,-10,47,-65,-41,18
05/11/2020,Hounslow,E09000018,-45,-13,17,-47,-43,17
05/11/2020,Islington,E09000019,-75,-20,18,-67,-65,28
05/11/2020,Lambeth,E09000022,-65,-15,-6,-66,-56,25
05/11/2020,Lewisham,E09000023,-46,-1,58,-51,-55,22
05/11/2020,Merton,E09000024,-57,-20,0,-53,-52,21
05/11/2020,Newham,E09000025,-59,-15,106,-55,-47,17
05/11/2020,Redbridge,E09000026,-44,-13,7,-52,-45,18
05/11/2020,Richmond upon Thames,E09000027,-56,-9,25,-57,-59,24
05/11/2020,Southwark,E09000028,-65,-21,-25,-63,-56,24
05/11/2020,Sutton,E09000029,-52,-15,27,-56,-50,20
05/11/2020,Tower Hamlets,E09000030,-66,-27,-34,-68,-63,26
05/11/2020,Waltham Forest,E09000031,-40,-5,21,-49,-49,19
05/11/2020,Wandsworth,E09000032,-59,-12,11,-54,-60,27
05/11/2020,Greenwich,E09000011,-55,-11,-5,-48,-53,20
05/11/2020,Kensington and Chelsea,E09000020,-71,-13,-18,-64,-59,23
05/11/2020,Kingston upon Thames,E09000021,-64,-25,NA,-54,-52,23
06/11/2020,City of London,E09000001,-91,-74,-88,-80,-66,NA
06/11/2020,Westminster,E09000033,-88,-48,-66,-77,-63,26
06/11/2020,Barking and Dagenham,E09000002,-41,-1,25,-37,-33,14
06/11/2020,Barnet,E09000003,-51,-9,46,-50,-47,20
06/11/2020,Bexley,E09000004,-55,-9,36,-50,-45,19
06/11/2020,Brent,E09000005,-51,-4,56,-44,-44,19
06/11/2020,Bromley,E09000006,-58,-6,21,-52,-52,23
06/11/2020,Camden,E09000007,-81,-35,-9,-74,-61,27
06/11/2020,Croydon,E09000008,-59,-3,39,-52,-41,19
06/11/2020,Ealing,E09000009,-46,-9,36,-51,-44,20
06/11/2020,Enfield,E09000010,-44,-6,19,-42,-39,17
06/11/2020,Hackney,E09000012,-67,-1,27,-55,-54,24
06/11/2020,Hammersmith and Fulham,E09000013,-72,-24,2,-59,-61,26
06/11/2020,Haringey,E09000014,-51,-11,26,-51,-53,21
06/11/2020,Harrow,E09000015,-55,-7,63,-47,-43,19
06/11/2020,Havering,E09000016,-57,-12,10,-45,-43,19
06/11/2020,Hillingdon,E09000017,-53,-9,43,-66,-40,19
06/11/2020,Hounslow,E09000018,-45,-10,19,-44,-44,18
06/11/2020,Islington,E09000019,-76,-17,23,-69,-65,29
06/11/2020,Lambeth,E09000022,-67,-10,-8,-65,-57,27
06/11/2020,Lewisham,E09000023,-47,-1,45,-50,-54,24
06/11/2020,Merton,E09000024,-59,-13,5,-51,-49,22
06/11/2020,Newham,E09000025,-59,-13,124,-51,-47,19
06/11/2020,Redbridge,E09000026,-44,-7,7,-46,-44,18
06/11/2020,Richmond upon Thames,E09000027,-56,-4,36,-57,-58,24
06/11/2020,Southwark,E09000028,-67,-16,-23,-62,-56,25
06/11/2020,Sutton,E09000029,-53,-13,42,-54,-49,20
06/11/2020,Tower Hamlets,E09000030,-67,-20,-39,-67,-63,27
06/11/2020,Waltham Forest,E09000031,-43,-5,21,-50,-48,20
06/11/2020,Wandsworth,E09000032,-61,-8,24,-54,-57,28
06/11/2020,Greenwich,E09000011,-59,-8,0,-45,-50,21
06/11/2020,Kensington and Chelsea,E09000020,-74,-13,-18,-65,-57,24
06/11/2020,Kingston upon Thames,E09000021,-65,-17,NA,-54,-51,23
07/11/2020,City of London,E09000001,-88,-62,-83,-78,NA,NA
07/11/2020,Westminster,E09000033,-89,-50,-56,-80,-41,15
07/11/2020,Barking and Dagenham,E09000002,-44,-8,45,-41,-27,12
07/11/2020,Barnet,E09000003,-56,-10,77,-51,-35,14
07/11/2020,Bexley,E09000004,-61,-12,58,-55,-25,14
07/11/2020,Brent,E09000005,-57,-11,90,-47,-35,13
07/11/2020,Bromley,E09000006,-62,-10,35,-54,-27,15
07/11/2020,Camden,E09000007,-80,-38,16,-76,-34,15
07/11/2020,Croydon,E09000008,-64,-9,82,-57,-27,14
07/11/2020,Ealing,E09000009,-51,-11,68,-52,-32,14
07/11/2020,Enfield,E09000010,-52,-12,60,-45,-26,13
07/11/2020,Hackney,E09000012,-68,-6,57,-60,-35,15
07/11/2020,Hammersmith and Fulham,E09000013,-77,-25,43,-66,-45,16
07/11/2020,Haringey,E09000014,-55,-16,46,-54,-44,15
07/11/2020,Harrow,E09000015,-59,-10,120,-47,-26,14
07/11/2020,Havering,E09000016,-63,-18,32,-50,-27,14
07/11/2020,Hillingdon,E09000017,-55,-13,106,-69,-25,14
07/11/2020,Hounslow,E09000018,-49,-8,39,-46,-32,13
07/11/2020,Islington,E09000019,-75,-8,51,-65,-33,15
07/11/2020,Lambeth,E09000022,-67,-13,-7,-64,-34,16
07/11/2020,Lewisham,E09000023,-51,-6,69,-52,-36,15
07/11/2020,Merton,E09000024,-60,-17,40,-55,-35,14
07/11/2020,Newham,E09000025,-66,-19,125,-57,-35,13
07/11/2020,Redbridge,E09000026,-49,-13,19,-51,-28,13
07/11/2020,Richmond upon Thames,E09000027,-52,-3,64,-56,-40,15
07/11/2020,Southwark,E09000028,-65,-18,-5,-65,-36,15
07/11/2020,Sutton,E09000029,-58,-18,57,-58,-32,14
07/11/2020,Tower Hamlets,E09000030,-61,-22,-19,-64,-38,15
07/11/2020,Waltham Forest,E09000031,-46,-5,35,-51,-37,14
07/11/2020,Wandsworth,E09000032,-63,-12,56,-59,-34,16
07/11/2020,Greenwich,E09000011,-64,-10,9,-49,-35,14
07/11/2020,Kensington and Chelsea,E09000020,-79,-16,-3,-73,-36,15
07/11/2020,Kingston upon Thames,E09000021,-69,-19,76,-58,-33,15
08/11/2020,City of London,E09000001,-86,-69,-84,-77,NA,NA
08/11/2020,Westminster,E09000033,-87,-51,-58,-80,-45,13
08/11/2020,Barking and Dagenham,E09000002,-48,-15,45,-42,-29,10
08/11/2020,Barnet,E09000003,-59,-18,60,-53,-37,12
08/11/2020,Bexley,E09000004,-61,-18,37,-49,-30,11
08/11/2020,Brent,E09000005,-61,-10,54,-49,-38,11
08/11/2020,Bromley,E09000006,-62,-16,29,-51,-29,11
08/11/2020,Camden,E09000007,-79,-41,6,-77,-37,13
08/11/2020,Croydon,E09000008,-66,-17,44,-57,-28,11
08/11/2020,Ealing,E09000009,-54,-14,30,-53,-36,11
08/11/2020,Enfield,E09000010,-56,-16,34,-43,-31,11
08/11/2020,Hackney,E09000012,-66,-17,31,-58,-37,12
08/11/2020,Hammersmith and Fulham,E09000013,-77,-34,22,-67,-44,13
08/11/2020,Haringey,E09000014,-59,-23,21,-56,-47,12
08/11/2020,Harrow,E09000015,-61,-15,66,-45,-28,11
08/11/2020,Havering,E09000016,-64,-22,43,-48,-29,11
08/11/2020,Hillingdon,E09000017,-57,-18,74,-70,-29,11
08/11/2020,Hounslow,E09000018,-52,-21,19,-49,-36,11
08/11/2020,Islington,E09000019,-74,-19,44,-68,-33,13
08/11/2020,Lambeth,E09000022,-67,-20,-3,-64,-35,13
08/11/2020,Lewisham,E09000023,-54,-14,58,-54,-37,12
08/11/2020,Merton,E09000024,-62,-27,21,-56,-37,12
08/11/2020,Newham,E09000025,-64,-23,116,-55,-36,11
08/11/2020,Redbridge,E09000026,-52,-13,18,-51,-32,11
08/11/2020,Richmond upon Thames,E09000027,-58,-13,40,-61,-44,12
08/11/2020,Southwark,E09000028,-66,-21,2,-66,-39,13
08/11/2020,Sutton,E09000029,-60,-20,46,-55,-36,11
08/11/2020,Tower Hamlets,E09000030,-63,-39,-17,-64,-39,13
08/11/2020,Waltham Forest,E09000031,-48,-11,57,-53,-40,11
08/11/2020,Wandsworth,E09000032,-63,-27,35,-62,-33,13
08/11/2020,Greenwich,E09000011,-66,-16,6,-51,-37,11
08/11/2020,Kensington and Chelsea,E09000020,-79,-21,-5,-72,-42,13
08/11/2020,Kingston upon Thames,E09000021,-70,-26,73,-52,-41,12
09/11/2020,City of London,E09000001,-89,-75,-87,-80,-66,NA
09/11/2020,Westminster,E09000033,-84,-47,-54,-75,-64,24
09/11/2020,Barking and Dagenham,E09000002,-35,-8,39,-37,-37,13
09/11/2020,Barnet,E09000003,-48,-12,50,-49,-49,19
09/11/2020,Bexley,E09000004,-47,-12,42,-48,-46,17
09/11/2020,Brent,E09000005,-46,-8,86,-42,-44,17
09/11/2020,Bromley,E09000006,-51,-12,24,-52,-52,21
09/11/2020,Camden,E09000007,-78,-43,9,-73,-63,24
09/11/2020,Croydon,E09000008,-52,-10,52,-49,-41,18
09/11/2020,Ealing,E09000009,-42,-12,42,-47,-45,18
09/11/2020,Enfield,E09000010,-40,-11,45,-42,-41,15
09/11/2020,Hackney,E09000012,-59,-14,50,-57,-56,22
09/11/2020,Hammersmith and Fulham,E09000013,-69,-33,13,-54,-61,24
09/11/2020,Haringey,E09000014,-47,-18,37,-51,-54,20
09/11/2020,Harrow,E09000015,-45,-9,75,-45,-42,18
09/11/2020,Havering,E09000016,-49,-13,-2,-43,-43,16
09/11/2020,Hillingdon,E09000017,-48,-11,52,-71,-41,17
09/11/2020,Hounslow,E09000018,-40,-13,24,-44,-44,17
09/11/2020,Islington,E09000019,-71,-27,18,-65,-66,26
09/11/2020,Lambeth,E09000022,-60,-21,9,-65,-56,24
09/11/2020,Lewisham,E09000023,-40,-9,65,-47,-55,21
09/11/2020,Merton,E09000024,-54,-20,19,-47,-52,20
09/11/2020,Newham,E09000025,-55,-16,154,-48,-48,17
09/11/2020,Redbridge,E09000026,-42,-12,20,-46,-46,17
09/11/2020,Richmond upon Thames,E09000027,-52,-12,29,-56,-59,22
09/11/2020,Southwark,E09000028,-60,-19,-8,-61,-57,23
09/11/2020,Sutton,E09000029,-46,-12,47,-52,-49,18
09/11/2020,Tower Hamlets,E09000030,-61,-25,-22,-64,-65,25
09/11/2020,Waltham Forest,E09000031,-37,-8,33,-49,-49,18
09/11/2020,Wandsworth,E09000032,-57,-18,33,-56,-60,26
09/11/2020,Greenwich,E09000011,-51,-11,7,-41,-52,19
09/11/2020,Kensington and Chelsea,E09000020,-71,-14,-11,-62,-58,22
09/11/2020,Kingston upon Thames,E09000021,-60,-21,NA,-52,-52,21
10/11/2020,City of London,E09000001,-90,-73,-84,-80,-67,NA
10/11/2020,Westminster,E09000033,-86,-46,-52,-75,-65,24
10/11/2020,Barking and Dagenham,E09000002,-36,-9,50,-35,-37,13
10/11/2020,Barnet,E09000003,-45,-11,75,-47,-49,20
10/11/2020,Bexley,E09000004,-46,-7,42,-48,-47,18
10/11/2020,Brent,E09000005,-48,-5,83,-43,-45,17
10/11/2020,Bromley,E09000006,-50,-5,31,-51,-51,21
10/11/2020,Camden,E09000007,-79,-36,3,-73,-63,24
10/11/2020,Croydon,E09000008,-51,-3,48,-52,-44,19
10/11/2020,Ealing,E09000009,-40,-9,54,-48,-45,18
10/11/2020,Enfield,E09000010,-40,-7,34,-42,-41,16
10/11/2020,Hackney,E09000012,-59,-8,49,-55,-56,22
10/11/2020,Hammersmith and Fulham,E09000013,-67,-25,13,-56,-62,24
10/11/2020,Haringey,E09000014,-46,-13,43,-50,-56,20
10/11/2020,Harrow,E09000015,-47,-4,91,-43,-40,18
10/11/2020,Havering,E09000016,-49,-8,8,-44,-43,17
10/11/2020,Hillingdon,E09000017,-47,-7,63,-69,-42,18
10/11/2020,Hounslow,E09000018,-39,-11,46,-44,-44,18
10/11/2020,Islington,E09000019,-72,-21,34,-68,-66,27
10/11/2020,Lambeth,E09000022,-62,-13,17,-65,-55,24
10/11/2020,Lewisham,E09000023,-42,-1,72,-49,-54,22
10/11/2020,Merton,E09000024,-53,-16,34,-49,-52,21
10/11/2020,Newham,E09000025,-51,-12,154,-50,-48,17
10/11/2020,Redbridge,E09000026,-40,-5,24,-46,-48,17
10/11/2020,Richmond upon Thames,E09000027,-54,-2,40,-57,-60,23
10/11/2020,Southwark,E09000028,-61,-16,-8,-62,-58,23
10/11/2020,Sutton,E09000029,-45,-11,51,-52,-50,19
10/11/2020,Tower Hamlets,E09000030,-62,-20,-19,-66,-64,26
10/11/2020,Waltham Forest,E09000031,-38,-7,45,-49,-50,18
10/11/2020,Wandsworth,E09000032,-54,-12,35,-53,-60,26
10/11/2020,Greenwich,E09000011,-51,-8,14,-42,-53,20
10/11/2020,Kensington and Chelsea,E09000020,-69,-9,0,-63,-59,22
10/11/2020,Kingston upon Thames,E09000021,-61,-18,NA,-52,-53,21
11/11/2020,City of London,E09000001,-91,-72,-86,-81,-66,NA
11/11/2020,Westminster,E09000033,-87,-46,-58,-76,-64,25
11/11/2020,Barking and Dagenham,E09000002,-36,-2,14,-40,-35,14
11/11/2020,Barnet,E09000003,-46,-11,37,-48,-49,21
11/11/2020,Bexley,E09000004,-46,-7,33,-49,-46,19
11/11/2020,Brent,E09000005,-48,-4,44,-44,-45,17
11/11/2020,Bromley,E09000006,-51,-9,16,-51,-51,22
11/11/2020,Camden,E09000007,-80,-39,-7,-74,-62,26
11/11/2020,Croydon,E09000008,-50,-7,31,-52,-42,19
11/11/2020,Ealing,E09000009,-40,-11,29,-49,-46,19
11/11/2020,Enfield,E09000010,-42,-7,15,-40,-41,17
11/11/2020,Hackney,E09000012,-60,-9,35,-58,-56,23
11/11/2020,Hammersmith and Fulham,E09000013,-68,-28,8,-57,-61,25
11/11/2020,Haringey,E09000014,-50,-14,15,-53,-53,21
11/11/2020,Harrow,E09000015,-48,-6,51,-43,-42,18
11/11/2020,Havering,E09000016,-50,-12,1,-43,-43,17
11/11/2020,Hillingdon,E09000017,-48,-11,54,-69,-41,18
11/11/2020,Hounslow,E09000018,-42,-12,25,-45,-42,18
11/11/2020,Islington,E09000019,-74,-22,22,-69,-65,29
11/11/2020,Lambeth,E09000022,-62,-15,1,-67,-56,25
11/11/2020,Lewisham,E09000023,-42,-2,44,-49,-52,22
11/11/2020,Merton,E09000024,-55,-18,15,-52,-52,21
11/11/2020,Newham,E09000025,-58,-14,118,-51,-45,18
11/11/2020,Redbridge,E09000026,-43,-7,4,-46,-45,18
11/11/2020,Richmond upon Thames,E09000027,-54,-5,27,-56,-59,24
11/11/2020,Southwark,E09000028,-63,-17,-20,-62,-58,24
11/11/2020,Sutton,E09000029,-43,-3,45,-53,-51,20
11/11/2020,Tower Hamlets,E09000030,-64,-22,-29,-66,-63,26
11/11/2020,Waltham Forest,E09000031,-36,-5,17,-51,-47,19
11/11/2020,Wandsworth,E09000032,-55,-12,22,-56,-59,27
11/11/2020,Greenwich,E09000011,-53,-5,-4,-45,-51,20
11/11/2020,Kensington and Chelsea,E09000020,-71,-10,-8,-62,-58,23
11/11/2020,Kingston upon Thames,E09000021,-62,-19,NA,-54,-52,22
12/11/2020,City of London,E09000001,-92,-73,-85,-80,-68,NA
12/11/2020,Westminster,E09000033,-87,-46,-52,-75,-64,25
12/11/2020,Barking and Dagenham,E09000002,-35,-2,37,-36,-36,14
12/11/2020,Barnet,E09000003,-46,-8,65,-50,-49,20
